original_file,new_file,alt_text,optimized_dimensions,source_dimensions,webp_size_kb
IMG_5691.HEIC,images/sapelo-house-sapelo-river-view-live-oaks-townsend-georgia.webp,"Sapelo River view from the Sapelo House lawn framed by live oak trees and Spanish moss in Townsend, Georgia.",2400x1800,5712x4284,1409
IMG_5692.HEIC,images/sapelo-house-vacation-rental-exterior-townsend-georgia.webp,"Front exterior of Sapelo House, a welcoming vacation rental home on a grassy lot in Townsend, Georgia.",2400x1800,5712x4284,987
IMG_5693.HEIC,images/sapelo-house-screened-front-door-entry.webp,Screened front door entry at Sapelo House with wood trim and porch details.,1800x2400,4284x5712,550
IMG_5694.HEIC,images/sapelo-house-covered-front-porch-entry.webp,"Covered front porch entry at Sapelo House with a screened door, railing, and ceiling fan.",2400x1800,5712x4284,776
IMG_5695.HEIC,images/sapelo-house-covered-porch-seating.webp,Covered porch seating at Sapelo House with cushioned outdoor chairs and a shaded view of the yard.,1800x2400,3024x4032,624
IMG_5696.HEIC,images/sapelo-house-primary-bedroom-sitting-area.webp,"Primary bedroom at Sapelo House with a striped bed, wood floors, and a cozy sitting area by the window.",1800x2400,4284x5712,786
IMG_5697.HEIC,images/sapelo-house-primary-bedroom-large-bed.webp,"Primary bedroom at Sapelo House with a large bed, coastal bedding, nightstands, and warm wood floors.",1800x2400,4284x5712,762
IMG_5698.HEIC,images/sapelo-house-primary-bath-vanity-and-tub.webp,"Primary bathroom at Sapelo House with a double vanity, soaking tub, shower, and soft blue walls.",1800x2400,4284x5712,438
IMG_5699.HEIC,images/sapelo-house-primary-bath-tub-and-shower.webp,"Primary bath at Sapelo House featuring a soaking tub, walk-in shower, towels, and closet storage.",1800x2400,4284x5712,597
IMG_5700.HEIC,images/sapelo-house-bedroom-tv-armoire-reading-chair.webp,"Bedroom sitting area at Sapelo House with a TV armoire, reading chair, and bright window light.",1800x2400,3024x4032,310
IMG_5701.HEIC,images/sapelo-house-back-deck-outdoor-lounge.webp,"Back deck lounge at Sapelo House with cushioned outdoor seating, grill, and fenced yard.",1800x2400,4284x5712,1025
IMG_5702.HEIC,images/sapelo-house-covered-back-deck-seating.webp,"Covered back deck at Sapelo House with patio seating, ceiling fan, and relaxed outdoor living space.",1800x2400,4284x5712,995
IMG_5703.HEIC,images/sapelo-house-laundry-room-washer-dryer.webp,Laundry area at Sapelo House with a full-size washer and dryer for guest convenience.,1800x2400,4284x5712,236
IMG_5704.HEIC,images/sapelo-house-game-room-pool-table-fireplace.webp,"Game room at Sapelo House with a blue pool table, stone fireplace, and comfortable coastal decor.",1800x2400,4284x5712,847
IMG_5705.HEIC,images/sapelo-house-kitchen-island-stainless-appliances.webp,"Sapelo House kitchen with white cabinets, stainless steel appliances, and a wood island with seating.",2400x1800,5712x4284,521
IMG_5706.HEIC,images/sapelo-house-open-kitchen-island-townsend-georgia.webp,"Open kitchen at Sapelo House with a central island, white cabinetry, and stainless steel appliances.",2400x1800,5712x4284,574
IMG_5707.HEIC,images/sapelo-house-dining-room-near-kitchen.webp,"Dining room at Sapelo House with a wood table, upholstered chairs, and natural light beside the kitchen.",2400x1800,5712x4284,652
IMG_5708.HEIC,images/sapelo-house-open-living-room-pool-table.webp,"Open living room at Sapelo House with sectional seating, a pool table, and bright windows.",2400x1800,4032x3024,508
IMG_5709.HEIC,images/sapelo-house-comfortable-living-room-seating.webp,"Comfortable living room at Sapelo House with recliners, sofa seating, and coastal decor.",2400x1800,4032x3024,438
IMG_5710.HEIC,images/sapelo-house-large-sectional-living-room.webp,"Spacious living room at Sapelo House with a large sectional sofa, coffee table, and open layout.",2400x1800,4032x3024,433
IMG_5711.HEIC,images/sapelo-house-open-concept-living-game-room.webp,"Open-concept living and game area at Sapelo House with a pool table, lounge seating, kitchen, and dining space.",2400x1800,4032x3024,408
IMG_5712.HEIC,images/sapelo-house-guest-bathroom-coastal-decor.webp,"Guest bathroom at Sapelo House with a white vanity, shower curtain, and nautical coastal decor.",1800x2400,3024x4032,501
IMG_5713.HEIC,images/sapelo-house-guest-bedroom-wood-dresser.webp,"Guest bedroom at Sapelo House with a bed, wood dresser, mirror, and warm flooring.",2400x1800,4032x3024,544
IMG_5714.HEIC,images/sapelo-house-guest-bedroom-tv-dresser.webp,"Guest bedroom at Sapelo House with a TV, wood dresser, bed, and window curtains.",2400x1800,4032x3024,358
IMG_5715.HEIC,images/sapelo-house-bright-coastal-guest-bedroom.webp,"Bright coastal guest bedroom at Sapelo House with a neatly made bed, soft curtains, and natural light.",2400x1800,4032x3024,390
IMG_5716.HEIC,images/sapelo-house-open-living-kitchen-pool-table.webp,"Open living area at Sapelo House showing the lounge seating, kitchen, dining area, and pool table.",2400x1800,5712x4284,697
IMG_5717.HEIC,images/sapelo-house-kitchen-white-cabinets-island.webp,"Sapelo House kitchen with white cabinets, stainless appliances, wood island, and coastal serving details.",2400x1800,5712x4284,445
IMG_5718.HEIC,images/sapelo-house-riverfront-yard-live-oaks.webp,"Riverfront yard at Sapelo House with live oak trees, Spanish moss, palms, and a view toward the Sapelo River.",2400x1800,5712x4284,1387
IMG_5719.HEIC,images/sapelo-house-sapelo-river-through-spanish-moss.webp,"Sapelo River scenery from Sapelo House, framed by Spanish moss and mature coastal trees.",2400x1800,4032x3024,1029
IMG_5720.HEIC,images/sapelo-house-side-yard-live-oaks-exterior.webp,"Side yard view of Sapelo House with live oak trees, Spanish moss, and a sunny lawn.",1800x2400,4284x5712,1564
sapelo-house-sunset.webp,images/sapelo-river-orange-sunset-clouds-coastal-georgia.webp,"Orange sunset over the Sapelo River with dramatic clouds and a dock in the foreground in coastal Georgia.",2400x1090,4032x1832,253
sapelo-river-sunset-2.webp,images/sapelo-river-golden-sunset-dock-coastal-georgia.webp,"Sun setting beyond the marsh across the Sapelo River with a golden reflection on the water and a dock in the foreground.",2400x1019,5712x2426,472
sapelo-river-from the-sound.webp,images/sapelo-river-pink-blue-evening-sky-coastal-georgia.webp,"Pink and blue evening sky over the Sapelo River after sunset in coastal Georgia.",2400x1288,4284x2299,262
